#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTDESC202049;Giacomo Leopardi was an Italian poet, essayist, philosopher, and philologist. Although he lived in a secluded town in the ultra-conservative Papal States, he came in touch with the main thoughts of the Enlightenment, and, by his own literary evolution, created a remarkable and renowned poetic work, related to the Romantic era. Leopardi often wrote about poetry in general and about his own idea of poetry, of its language and scope. Many pages on this subject can be found in the Zibaldone, a private diary and collection of notes, literary projects, translations, etc. Together with Alessandro Manzoni, Leopardi hat an immense impact on the Italian language and was one figurehead of patriotic and nationalistic movements in Italy. The greatest poet of Italian Romanticism died at 38 years in Naples.;;;;;;;;;;;;x;
EVTNAME202050;Giosuè Carducci;;;;;;;;;;;;x;
EVTDESC202050;Giosuè Carducci, born 1835 in Valdicastello (Lucca), was an Italian poet and teacher. He was very influential and was regarded as the official national poet of modern Italy, being a part of the general cultural and political life. Carducci was a popular lecturer and a fierce critic of literature and society. His political views were consistently opposed to Christianity generally and the secular power of the Catholic Church in particular. This anti-clerical revolutionary zeal is prominently showcased in one famous poem, the deliberately blasphemous and provocative 'Inno a Satana' (Hymn to Satan). While 'Inno a Satana' had quite a revolutionary impact, Carducci's finest poetry came in later years. His collections Rime Nuove (New Rhymes) and Odi Barbare (Barbarian Odes) contain his greatest works.  Carducci also translated some works  of Goethe and Heine into Italian. One year before his death, Carducci became the first Italian to win the Nobel Prize in Literature.;;;;;;;;;;;;x;
EVTNAME202051;Pascoli: La grande proletaria si è mossa!;;;;;;;;;;;;x;
EVTDESC202051;Giovanni Pascoli was an Italian poet and classical scholar. He studied at the University of Bologna, where his teacher and mentor was Giosuè Carducci. Pascoli, even in a period of Positivism and scientism, believed that life is a mystery. Only symbolic associations discovered in the humble things of nature can lead man to catch a glimpse of the truth behind mere appearances. His later poems share similar themes but are more experimental, and reflect his knowledge of classical antiquity. They were a great influence on later Italian poets, who incorporated his melancholy themes into their own works. He wrote in both Italian and Latin, he also translated English poetry. Pascoli was also a political activist, sympathising with Socialism. In $YEAR$, when the War of Libia broke out, he assumed a prominent role in the public debate. Pascoli's interventionist politicis were not unique in Italian intellectual circles: his rhetoric helped to shape the public mind and to create feelings of patriotism, of fraternal pride and of a shared destiny.;;;;;;;;;;;;x;
EVTNAME202052;Gabriele D'Annunzio;;;;;;;;;;;;x;
EVTDESC202052;Gabriele D'Annunzio was an Italian writer, poet, journalist, playwright and soldier. He occupied a prominent place in Italian literature and political life. He was nicknamed Il Vate (The Poet) and Il Profeta (The Prophet). D'Annunzio was associated with the Decadent movement in his literary works, which interplayed closely with French Symbolism and British Aestheticism. At the height of his success, D'Annunzio was celebrated for the originality, power and decadence of his writing and his work had immense impact across Europe and on generations of Italian writers. He came under the influence of Friedrich Nietzsche which would find outlets in his literary and later political contributions. In 1897 D'Annunzio was elected to the Chamber of Deputies, where he sat as an independent. He collaborated with Debussy, Mascagni, Marinetti and took a flight with Wilbur Wright, becoming a pilot himself and a hero in air-battles. Not only D'Annunzio himself, but also his contemporaries viewed him as Nietzschean 'Superman'.;;;;;;;;;;;;x;
EVTNAME202053;La Conoscienza di Svevo;;;;;;;;;;;;x;
EVTDESC202053;Aron Ettore Schmitz, better known by the pseudonym Italo Svevo, was an Italian writer and businessman. Italo Svevo (literally Italian Swabian) wrote the classic novel La Coscienza di Zeno (Confessions of Zeno, or Zeno's Conscience) and self-published it in 1923. The work, showing the author's interest in the theories of Sigmund Freud, is written in the form of the memoirs of one Zeno Cosini, who writes them at the insistence of his psychoanalyst. Schmitz's novel received almost no attention from Italian readers and critics at the time. The work might have disappeared altogether if it were not for the efforts of James Joyce. Joyce had met Svevo in 1907, when Joyce tutored him in English while working for Berlitz in Trieste. Joyce championed Confessions of Zeno, helping to have it translated into French and then published in Paris, where critics praised it extravagantly. That led Italian critics to discover it. Svevo was also a model for Leopold Bloom, the protagonist of Joyce's Ulysses.;;;;;;;;;;;;x;
EVTNAME202054;Gioachino Rossini;;;;;;;;;;;;x;
EVTDESC202054;Gioachino Antonio Rossini was an Italian composer who wrote 39 operas as well as sacred music, chamber music, songs, and some instrumental and piano pieces. His best-known operas include the Italian comedies Il barbiere di Siviglia (The Barber of Seville) and La Cenerentola and the French-language epics Moïse et Pharaon and Guillaume Tell. A tendency for inspired, song-like melodies is evident throughout his scores, which led to the nickname 'The Italian Mozart'.  Until his retirement in 1829, Rossini had been the most popular opera composer in history. He returned to the Papal States, namely Bologna, where he became dircetor of music, spending his time by composing chamber and sacred music.;;;;;;;;;;;;x;
EVTNAME202055;Donizetti's Caterina Cornaro;;;;;;;;;;;;x;
EVTDESC202055;Gaetano Donizetti was an Italian composer from Bergamo, Lombardy. Along with Vincenzo Bellini and Gioachino Rossini, he was a leading composer of bel canto opera. Following the success of Linda di Chamounix, Caterina Cornaro was commissioned by Bartolomeo Merelli, impresario of the Kaertnerthortheater in Vienna, and was partly composed in 1842/1843. The Viennese realised that the same subject had been set to music the preceding year by Franz Lachner and the debut was cancelled. Two months after the triumph of Dom Sébastien in Paris, Caterina was booed at the San Carlo in Naples. The composer, who had been unable to be present at rehearsals or to oversee the orchestration, had clearly predicted the opera's failure: 'I am anxiously awaiting news of the fiasco of Caterina Cornaro in Naples. La Goldberg as a primadonna is my first disaster without knowing it. I wrote for a soprano, they give me a mezzo! God knows if Coletti, if Fraschini intend their roles as I intend them. God knows what a catastrophe censorship has brought.';;;;;;;;;;;;x;
EVTNAME202056;Cavalleria rusticana;;;;;;;;;;;;x;
EVTDESC202056;Cavalleria rusticana (Rustic Chivalry), is an opera in one act by Pietro Mascagni to an Italian libretto by Giovanni Targioni-Tozzetti and Guido Menasci, and considered one of the classic verismo operas. Although Mascagni had started writing two other operas earlier (Pinotta, premiered in 1932 and Guglielmo Ratcliff, premiered in 1895), Cavalleria rusticana was his first opera to be completed and performed. \n\nIt remains the best known of his fifteen operas and one operetta. Its success has been phenomenal from its first performance in the Teatro Costanzi in Rome until the present day. At the time of Mascagni's death in 1945, the opera had been performed more than 14,000 times in Italy alone. The first performance of Cavalleria rusticana caused a sensation, with Mascagni taking 40 curtain calls on the opening night, and winning the First Prize.;;;;;;;;;;;;x;
EVTNAME202057;Fountains of Rome;;;;;;;;;;;;x;
EVTDESC202057;Ottorino Respighi was an Italian composer, musicologist and conductor. His musicological interest in 16th-, 17th- and 18th-century music led him to also compose pieces based on the music of this period. He also wrote a number of operas, the best known being La fiamma. \n\nHe is best known for his orchestral 'Roman trilogy': Fountains of Rome (Le fontane di Roma), Pines of Rome (I pini di Roma), and Roman Festivals (Feste romane). Fountains of Rome is a sinfonic poem, seperated in four sections, depicting one of Rome's fountains during different periods of the day and night. Although the premiere in Rome was unsuccessful, Arturo Toscanini finally conducted the work in Milan in 1918 with tremendous success.;;;;;;;;;;;;x;
EVTNAME202058;Nessun Dorma…;;;;;;;;;;;;x;
EVTDESC202058;Giacomo Puccini, considered the greatest Italian composers of opera after Giuseppe Verdi, his operas were among the most frequently performed in the standard repertoire. While his early work was rooted in traditional late-19th century romantic Italian opera, he successfully developed his work in the 'realistic' verismo style, of which he became one of the leading exponents. Turandot, Puccini's final opera, was left unfinished, and the last two scenes were completed by Franco Alfano based on the composer's sketches. The libretto for Turandot was based on a play by Carlo Gozzi, also called Turandot. The music of the opera is heavily inflected with pentatonic motifs, intended to produce an Asiatic flavor to the music. Unlike La Fanciulla, Turandot contains a number of memorable stand-alone arias, among them Nessun dorma. The first performance was held at the Teatro alla Scala in Milan and conducted by Arturo Toscanini. This performance included only Puccini's music and not Alfano's additions.;;;;;;;;;;;;x;
EVTOPT202060;A triumphal march for Italian culture!;;;;;;;;;;;;x;
EVTNAME202059;Aida;;;;;;;;;;;;x;
EVTDESC202059;Aida, sometimes spelled Aïda, is an opera in four acts by Giuseppe Verdi to an Italian libretto by Antonio Ghislanzoni, based on a scenario often attributed to French Egyptologist Auguste Mariette. Isma'il Pasha, Khedive of Egypt, commissioned Verdi to write the opera for the performance in January $YEAR$, paying him 150,000 francs. \n\nAlthough the premiere was delayed, Aida met with great acclaim when it finally opened in Cairo on 24 December $YEAR$. Auguste Mariette designed the costumes and accessories and oversaw the design and construction of the sets, which were created in and shipped from Paris for the premiere. Although Verdi did not attend the premiere, he was most dissatisfied with the fact that the audience consisted of invited dignitaries, politicians and critics, but no members of the general public. He therefore considered the Italian premiere, held at La Scala, Milan, and in which he was heavily involved at every stage, to be its real premiere.;;;;;;;;;;;;x;
EVTOPT202061;Qual piuma al vento, muta d'accento, e di pensiero!;;;;;;;;;;;;x;
EVTNAME202061;Rigoletto;;;;;;;;;;;;x;
EVTOPT202061A;Italy must never unify!;;;;;;;;;;;;x;
EVTDESC202061;Rigoletto is an opera in three acts by Giuseppe Verdi. The Italian libretto was written on the play Le roi s'amuse by Victor Hugo. It was first performed at La Fenice in Venice in $YEAR$. Despite serious initial problems with the Austrian censors who had control over northern Italian theatres at the time, the opera had a triumphant premiere. \n\nIt is considered by many to be the first of the operatic masterpieces of Verdi's middle-to-late career, being the first of his three 'Popular' operas (Il Trovatore and La Traviata conclude the trilogy). Rigoletto premiered to a sold out La Fenice and was a complete triumph, especially the scena drammatica, and the Duke's cynical aria, 'La donna è mobile' which was sung in the streets the next morning.;;;;;;;;;;;;x;
EVTOPT202063;Dies, Dies, Dies Iraeee!;;;;;;;;;;;;x;
EVTNAME202063;The Requiem;;;;;;;;;;;;x;
EVTDESC202063;On $MONTH$, $YEAR$, the Italian writer and humanist Alessandro Manzoni, whom Verdi had admired all his adult life and met in 1868, died. Upon hearing of his death, Verdi resolved to complete a Requiem for the most important Italian writer of the 19th century. The Requiem was first performed in the church of San Marco in Milan and three days later at the Scala, conducted by Verdi himself. It won immediate contemporary success, and became a national celebration of arts, as two of the greatest cultural personalities of Italy - one in the field of music, one in the field of literature - merged together in an allegory of artistic spirit. As to the music qua music, the critical consensus agreed that the work displayed 'fluent invention, beautiful sound effects and charming vocal writing.' Critics were divided between praise and condemnation with respect to Verdi’s willingness to break standard compositional rules for musical effect, such as his use of consecutive fifths.;;;;;;;;;;;;x;
EVTNAME202065;Restaurazione;;;;;;;;;;;;x;
EVTDESC202065;Following the defeat of Napoleon, the Congress of Vienna (1815) convened to redraw Europe. In Italy, the Congress restored the pre-Napoleonic patchwork of independent governments, either directly ruled or strongly influenced by the prevailing powers, particularly Austria. Since the Habsburgs controlled the predominantly Italian-speaking northeastern part of present-day Italy, it expectedly was the most powerful force against Italian unification. The Habsburgs vigorously repressed nationalist sentiment growing on the Italian peninsula, as well as in the other parts of their domains. \n\nKlemens von Metternich, an influential Austrian diplomat stated that the word Italy was nothing more than 'a geographic expression'. However, Italian artistic and literary sentiment nevertheless turned towards nationalism, provoking a climate, in which the Resurgence of Italy would occur: The Risorgimento.;;;;;;;;;;;;x;
EVTOPT202065;Italy is chained...;;;;;;;;;;;;x;
EVTNAME201070;Agamemnon's Mask;;;;;;;;;;;;x;
mycenaean_excavations;Mycenaean Excavations;;;;;;;;;;;;x;
mycenaean_excavations_title;The Mycenaean Excavations;;;;;;;;;;;;x;
mycenaean_excavations_desc;Mycenaean Greece was the last phase of the Bronze Age in Ancient Greece, spanning the period from approximately 1600–1100 BC. It represents the first advanced civilization in mainland Greece, with its palatial states, urban organization, works of art and writing system. \n\nThe Mycenaean Greeks introduced several innovations in the fields of engineering, architecture and military infrastructure, while trade over vast areas of the Mediterranean was essential for the Mycenaean economy. Their syllabic script, the Linear B, offers the first written records of the Greek language and their religion already included several deities that can also be found in the Olympic Pantheon.\n\nMycenaean Greece was dominated by a warrior elite society and consisted of a network of palace states that developed rigid hierarchical, political, social and economic systems. At the head of this society was the king, known as wanax. Mycenaean Greece perished with the collapse of Bronze Age culture in the eastern Mediterranean.;;;;;;;;;;;;x;
forced_mycenaean_excavations_title;The Mycenaean Excavations;;;;;;;;;;;;x;
forced_mycenaean_excavations_desc;Mycenaean Greece was the last phase of the Bronze Age in Ancient Greece, spanning the period from approximately 1600–1100 BC. It represents the first advanced civilization in mainland Greece, with its palatial states, urban organization, works of art and writing system. \n\nThe Mycenaean Greeks introduced several innovations in the fields of engineering, architecture and military infrastructure, while trade over vast areas of the Mediterranean was essential for the Mycenaean economy. Their syllabic script, the Linear B, offers the first written records of the Greek language and their religion already included several deities that can also be found in the Olympic Pantheon.\n\nMycenaean Greece was dominated by a warrior elite society and consisted of a network of palace states that developed rigid hierarchical, political, social and economic systems. At the head of this society was the king, known as wanax. Mycenaean Greece perished with the collapse of Bronze Age culture in the eastern Mediterranean.;;;;;;;;;;;;x;
minoan_excavations_title;The Minoan Excavations;;;;;;;;;;;;x;
minoan_excavations_desc;The Minoan civilization was an Aegean Bronze Age civilization on the island of Crete and other Aegean islands which flourished from about 2600 to 1100 BC. It preceded the Mycenaean civilization of Ancient Greece. The term "Minoan", which refers to the mythical King Minos, originally described in the pottery of the period. Minos was associated in Greek mythology with the labyrinth and the Minotaur, which Evans identified with the site at Knossos (the largest Minoan site). The secrets of the ancient Minoan civilization await!;;;;;;;;;;;;x;
forced_minoan_excavations_title;The Minoan Excavations;;;;;;;;;;;;x;
forced_minoan_excavations_desc;The Minoan civilization was an Aegean Bronze Age civilization on the island of Crete and other Aegean islands which flourished from about 2600 to 1100 BC. It preceded the Mycenaean civilization of Ancient Greece. The term "Minoan", which refers to the mythical King Minos, originally described in the pottery of the period. Minos was associated in Greek mythology with the labyrinth and the Minotaur, which Evans identified with the site at Knossos (the largest Minoan site). The secrets of the ancient Minoan civilization await!;;;;;;;;;;;;x;
minoan_excavations;Minoan Excavations;;;;;;;;;;;;x;
SAR_765;Tyrrhenian Islands;;;;;;;;;;;;x;
