schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
CERCODOPORTOOPT;We will bide our time.;;;;;;;;;;;;;
BATTLESTVINCENT;Our navy commanded by British naval officer and Vice Admiral of the Portuguese navy Charles Napier has today defeated the Miguelite navy off the coast of Cape St. Vincent! Even though the Constitutionalist fleet was outnumbered by the Miguelites, the battle proved to be a decisive victory for the Liberal side. A bold tactic of closing in- and boarding the numerically superior Miguelite ships, Napier managed to secure Constitutionalist naval supremacy, as well as capturing 4 ships of the line, 1 frigate, and 1 corvette. The result of this engagement means the siege of Porto has been broken, and full out war will break out imminently!;;;;;;;;;;;;;
BATTLESTVINCENTOPT;Portugal will rid itself of tyranny.;;;;;;;;;;;;;
BATTLESTVINCENTMPR;The Constitutionalists have defeated our naval blockade of Porto commanded by naval officer Manuel Marreiros. Even with our superior numbers and ships of the line, the Constitutionalists managed to secure victory by boarding our ships, and are now able to threaten our southern coasts. The naval blockade of Porto is over, and the true ruler of Portugal will now have to defeat the pretender in field of battle.;;;;;;;;;;;;;
BATTLESTVINCENTMPROPT;Honrai a Pátria que a Pátria vos contempla!;;;;;;;;;;;;;
COVADAPIEDADE;The Constitutionalist forces have landed in the south of Portugal, led by Captain General António de Noronha. The army landed near Faro, and started its march up north through Alentejo towards the capital, Lisbon. The Miguelites responded by hastily gathering forces to stop the Constitutionalists from advancing and capturing the capital, resulting in a clash at Cova de Piedade. The Miguelites eventually get driven back into the Castle of Almada, which is captured by the Liberal forces a day later. Now that the way to Lisbon lays unopposed, there is nothing to stop the Constitutionalists from taking the city.;;;;;;;;;;;;;
COVADAPIEDADEOPT;We shall come out on top.;;;;;;;;;;;;;
COVADAPIEDADEMPR;Our forces have landed in the south of Portugal, led by Captain General António de Noronha. The army landed near Faro, and started its march up north through Alentejo towards the capital, Lisbon. The Miguelites have responded by hastily gathering forces to stop the Constitutionalists from advancing and capturing the capital, resulting in a clash at Cova de Piedade. The Miguelites eventually get driven back into the Castle of Almada, which is captured by our forces a day later. Now that the way to Lisbon lays unopposed, there is nothing to stop us from taking the city.;;;;;;;;;;;;;
MPRLOSES;The Miguelite army, led by General Guedes, set camp on a strong position at the Heights of Asseiceira. Our troops have been deployed to attack their position in three columns, commanded by Colonels Quierós, Nepomuceno and Vasconcelos, which were in turn led by Captain General António de Noronha who was responsible for the capture of Lisbon. The battle was a resounding success for our armies, resulting in Dom Miguel failing to rally his officers behind him for another battle. This marks the end of the civil war, with the usurper Miguel capitulating his title and claim, and being banished from the kingdom.;;;;;;;;;;;;;
MPRLOSESOPT;Deus, Pátria, Rei;;;;;;;;;;;;;
PORLOSES;The Liberal forces have been crushed, and routed in one decisive victory at the Heights of Asseiceira. The commander of our forces, a brigadier by the name of Luís Guedes, set up camp on the defensive hills and showed an outstanding use of artillery, halting the Constitutionalist attack. The success of this victory, resulted in our forces taking back Lisbon within a week, prompting the pretender, Dom Pedro to end his campaign and flee to Brazil.;;;;;;;;;;;;;
PORLOSESOPT;And may he stay there.;;;;;;;;;;;;;
MPR;Constitutionalist Portugal;;;;;;;;;;;;;
MPR_ADJ;Constitutionalist;;;;;;;;;;;;;
LAGRANJA;Inspired by the 1830 French Revolution, exiled Spanish liberals have organized many unsuccessful military coups--known as pronunciamentos in Spanish--to re-establish the 1812 Constitution and end Fernando VII's absolute monarchy. The most notable of these was the pronunciamento of general José Torrijos, who ended up shot. The latest to occur was today, in the palace of La Granja, where King Fernando resides. On the 16th, Ferdinand's health took a turn for the worse, and he was expected to die at any moment. His wife, María Cristina, was then betrayed by the top brass in the army, who refused to acknowledge her regency. Thus, she influenced her husband to revoke the Pragmatic Sanction, preventing Carlos Isidro from ascending the throne. On the 18th, Fernando's father, Carlos IV, as regent annulled the Salic law of succession in the Spanish monarchy, attempting to make the royal line patrilineal. But today, unexpectedly, Ferdinand VII has recovered his health, dismissed ministers supporting Carlos's ascension, and repealed his father's decree, making Isabel the heir to the throne again.;;;;;;;;;;;;;
LAGRANJAOPT;And they fail... again.;;;;;;;;;;;;;
1835TREATYOFLISBOA;Today an agreement between Portugal and Spain has been signed to guarantee both nations free navigation of the Douro River and the use of Porto and Fregeneda as customs ports, bringing prosperity to this sparsely inhabited area in the center of our nation. Let us hope that this treaty will lead to more future cooperation between Spain and Portugal.;;;;;;;;;;;;;
1835TREATYOFLISBOAOPT;A little roadblock passed.;;;;;;;;;;;;;
TORRIJOSPRONOUNCEMENT;Liberals launched another pronunciamento today in Málaga, though it failed after its organizers fell into a trap set by our navy and the captain general of Andalusia. In May, the insurgent general José María Torrijos presented his plan for this insurrection, consisting of a "circumferential" penetration of the country to attack the center, Madrid, from various points. They would pick up liberal sympathizers along the way to encircle the capital, hoping their numbers would suffice to overwhelm the Spanish army. But first, they were to cross into Spanish territory from Gibraltar, with Torrijos leading them, to signal the uprising’s start. Málaga’s governor confided anonymously to Torrijos in September that the best place for the landing would be the coast of Málaga, where he would be assured of the support of local garrisons. On November 30th, two boats with sixty men headed by Torrijos left Gibraltar. They found their destination after forty hours of travel—however, they were met with gunfire from the docked Spanish ship Neptune, and the conspirators have now all been executed.;;;;;;;;;;;;;
TORRIJOSPRONOUNCEMENTOPT;They will never win!;;;;;;;;;;;;;
FIRSTCARLISTWAR;Today, contingents of an ideology called "Carlism"--nicknamed after Fernando VII's brother and Spain's heir apparent, Carlos María Isidro--have taken up arms against the regency of María Cristina de Borbón. Catalonia, Aragon, Vasconia and Valencia run red with blood, and their populations, blinded by Carlism, are fighting for them. The Carlist uprisings are fueled by Fernando VII's death and the enactment of the Pragmatic Sanction, a liberal law to allow Isabel II to be the heir to the throne. For Isabel to take the throne instead of the megalomaniacal Carlos would mean a new era of prosperity for the nation. Viva Isabel!;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_SPA_SPC;The First Carlist War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_SPA_SPC;The First Carlist War;;;;;;;;;;;;;
BULLANGADE1835;Fueled by the anticlerical riots taking place elsewhere in Spain, Catalonia has erupted into chaos and hatred toward the clergy. The burning of convents have become frequent occurrences, and resistance against Carlism from the most liberal sectors is growing rapidly. On the 19th, due to these burnings, members of an urban militia from Tarragona participated in combat with a Carlist contingent. Seven people were arrested, tortured and killed by the Carlists. Catalonia has fallen again to intense conflict over the future of the Spanish monarchy. \n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
BULLANGADE1835SPC;Fueled by the anticlerical riots taking place elsewhere in Spain, Catalonia has erupted into chaos and hatred toward the clergy. The burning of convents have become frequent occurrences, and resistance against Carlism from the most liberal sectors is growing rapidly. On the 19th, due to these burnings, members of an urban militia from Tarragona participated in combat with a Carlist contingent. Seven people were arrested, tortured and killed by the Carlists. Catalonia has fallen again to intense conflict over the future of the Spanish monarchy.;;;;;;;;;;;;;
PRAGMATICSANCTION1830;Today, the Spanish government has published the contents of the 1789 Pragmatic Sanction, passed in that year unanimously by the court, which reinstates the traditional system of succession and abandons that which Felipe V introduced in 1713. From the year of its passing until now, the Sanction never would be revealed to the public and, therefore, had no legal validity. After the death of his third wife, Maria Josepha Amalia of Saxony, King Fernando VII announced in September 1829 that he would marry again. He chose the Neapolitan princess María Cristina of Bourbon-Two Sicilies as his bride, despite her being his niece and twenty-two years his younger. They married on December 10th that year. A few months later Fernando would declare the Pragmatic Sanction of 1789 fully in effect, ensuring that his eldest child—even if they were a girl—would succeed him. The decree has produced discontent among those would desire Carlos María Isidro, Fernando’s brother, to succeed to the throne—thus creating the Carlist movement.;;;;;;;;;;;;;
ANTICLERICALRIOTS1835;A series of riots against the clergy, inspired by the massacre of friars in Madrid produced a year ago, have begun to sow chaos in Aragon, Valencia, and Catalonia. The violence is motivated by the clergy's support for Carlism and its work to suppress liberalism. By order of Valencia’s captain general, the archbishop of Barcelona left the country with a military escort and took refuge in Bordeaux, France. He escaped before being able to see the violence reach new heights of bloodshed, with no end in sight.;;;;;;;;;;;;;
ANTICLERICALRIOTS1835OPT;That was unnecessary.;;;;;;;;;;;;;
ROYALSTATUTE1834;Regent María Cristina de Borbón has issued a new Royal degree to overhaul Spain’s federal government. The decree introduces a bicameral legislature to Spain. It consists of the Estate of Próceres, whose members will be appointed by royalty and the high nobility, and an Estate of Solicitors, whose members will be elected by a vote of 16,000 people, less than 2% of the country's population. The decree clearly takes inspiration from the British parliamentary system. Being conservative in nature, the statute has pleased both reactionaries and conservatives, among them Carlists.;;;;;;;;;;;;;
ROYALSTATUTE1834OPT;Finally something good coming from the regent.;;;;;;;;;;;;;
FERNANDODIED;A capable and popular king, Fernando struggled to preserve the traditional Spanish way of life. After a reign of 25 years which began in 1808 when his father, Charles IV, abdicated, seeing the Napoleonic Wars and the collapse of the viceroyalties, King Ferdinand VII has died today at the age of 49. Somewhat famous for inbreeding, the genetics of the Spanish house of Bourbon cursed Fernando to, despite having been married four times since 1802, have difficulty in having children. Indeed, his parents were cousins, his first marriage was to a cousin and his second and fourth marriages to nieces. Finally, in 1830, Isabel II was born and designated as his heir by the Pragmatic Sanction. However, as his brother, Carlos María Isidro de Borbón, has refused to accept Isabel II's legitimacy, his death has left a succession crisis behind—with one of the factions, the Carlists, already beginning to show signs of an impending rebellion.;;;;;;;;;;;;;
FERNANDODIEDCARLOS;A capable and popular king, Fernando struggled to preserve the traditional Spanish way of life. After a reign of 25 years which began in 1808 when his father, Charles IV, abdicated, seeing the Napoleonic Wars and the collapse of the viceroyalties, King Ferdinand VII has died today at the age of 49. Somewhat famous for inbreeding, the genetics of the Spanish house of Bourbon cursed Fernando to, despite having been married four times since 1802, have difficulty in having children. Indeed, his parents were cousins, his first marriage was to a cousin and his second and fourth marriages to nieces. Finally, in 1830, Isabel II was born. She is, however, a girl, and is thus excluded from succession. Thus, his brother, Carlos María Isidro de Borbón, has ascended to the throne. However, supporters of Isabel II's claim to the throne, the so-called Christinos, have refused to recognize Carlos' legitimacy. They are slowly working towards inciting popular rebellion to take over Spain, which we cannot allow.;;;;;;;;;;;;;
FERNANDODIEDOPT;This can't be happening...;;;;;;;;;;;;;
purchase_socotra_title;Purchase Socotra;;;;;;;;;;;;;
purchase_socotra_desc;We require a location to construct a coaling station to be used by the new steamship line on the Suez-Bombay route in the area of the mouth of the Red Sea. It has been proposed that we send an offer to purchase the island of Socotra to the Sultanate of Mahra, the Yemeni state controlling it, as it is perfectly situated along the route.;;;;;;;;;;;;;
BRITISHSOCOTRA;The British have proposed a treaty to buy the island of Socotra as a coaling station for 30,000 pounds sterling. While this is a lot of money that would surely benefit us, Britain could use the island as an outpost to invade Yemen. Our countrymen on the island would certainly feel abandoned if we were to turn them over to the Brits.;;;;;;;;;;;;;
MAHRASOCOTRAYES;The Sultan of Mahra has signed the proposed treaty, ceding us the island of Socotra. The vital coaling station is now in our hands.;;;;;;;;;;;;;
MAHRASOCOTRANO;The Sultan of Mahra has rejected the proposed treaty, stating that the island of Socotra is an inseparable part of the sultanate. No amount of money will convince him otherwise.;;;;;;;;;;;;
SALAVERRYCOUP;Brigadier General Felipe Santiago Salaverry del Solar has seized power in Lima. With president Orbegoso visiting Arequipa, a revolt broke out among unpaid soldiers and officers garrisoning the Real Felipe del Callao Fortress. Salaverry took the fortress by storm and ended the mutiny. Using his new position of power, he conspired with the rebellious garrison to stage a coup together with his own forces. With the former conservative Bermudists joining his cause against the liberal Orbegoso, Salaverry has taken control of most of Peru with little resistance. However, Orbegoso's main base of support in the liberal South has refused to recognize Salaverry's authority. Orbegoso has approached the Bolivians to seek support against Salaverry, and the war to come will decide the fate of Peru.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_POR_MPR;The Liberal Wars;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_POR_MPR;The Liberal Wars;;;;;;;;;;;;;
oran_french_war_title;The Capture of Oran;;;;;;;;;;;;;
oran_french_war_desc;Now that we have taken Algiers, the next important port to secure the pacification of Algeria is Oran. General Bourmont, who was on the way to seizing the port, has withdrawn his troops after the abdication of Charles X. However, should we choose to, we can send a new force commanded by Marshal Bertrand Clauzel. Further conquests in Algeria are supported by the people, with whom the already successful conquest of Algiers is immensely popular.;;;;;;;;;;;;;
invade_syria_egypt_title;The Invasion of Syria;;;;;;;;;;;;;
invade_syria_egypt_desc;When Sultan Mahmud II called on us in 1825 for aid in the Greek Revolt, he promised us Crete, Cyprus and Morea in return. While we landed a significant army and drove the rebels out of most of the Peloponnese within months, the Ottomans did not hold up their end of the bargain. Now, the time has come to take compensation from them by force. The rich province of Syria is directly on our border and home to religious sites of Islam, Judaism and Christianity. It would make a for a fitting prize to conquer. \n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
ottos_cry_to_russia_title;Appeal to Russia;;;;;;;;;;;;;
ottos_cry_to_russia_desc;The Egyptians have crushed our army. Our only choice is to reach out to the Russians to request their aid in the war to prevent Egypt from capturing Konstantiniyye itself. Though this will demonstrate our weakness internationally, we have no other choice.;;;;;;;;;;;;;
OTTOSCRYTOUS;Muhammed Ali of Egypt has trounced the Ottoman Army. Even though they were outnumbered heavily, the invaders have sent the disorganized Ottomans into a scattered retreat, leaving Konstantiniyye open. Sultan Mahmud II has personally requested that we intervene against Egypt. In return, he promises an alliance -- and access through the coveted Turkish Straits.;;;;;;;;;;;;;
KUTAHYA;The Ottomans have convinced Russia to intervene against us in our war. Although we have the Ottomans on the run, we must consider that our army is also somewhat depleted and will have difficulties standing up to the largest army on Earth -- Russia's. Sultan Mahmud II, knowing this, has sent us a peace offer. It would cede us the provinces of Syria and Adana and re-establish our position as nominal vassals of the Empire. We would certainly have another opportunity to finish them off for good later on after having time to lick our wounds.;;;;;;;;;;;;;
CHATOWAR;The region of Champa, in central and southern Vietnam, was reduced to the principalities of Panduranga and Kauthara on the eve of the 16th century. Kauthara was annexed by the Vietnamese halfway through the 17th century, and by now Panduranga has lost its hereditary monarchy status, with kings being appointed by the Vietnamese court in Hue. Panduranga officials have recently been supporting the rival faction of Le Van Duyet, in defiance of the Vietnamese suzerain. In response, Emperor Minh Mang has declared that the Cham king, Po Phaok The, ought to be arrested, and that Champa must be incorporated into the Vietnamese Empire for the king's treasonous behavior. Vietnamese troops are mobilizing for an invasion of our kingdom.;;;;;;;;;;;;;
CHATOWARCHA;The region of Champa, in central and southern Vietnam, was reduced to the principalities of Panduranga and Kauthara on the eve of the 16th century. We annexed Kauthara halfway through the 17th century, and by now, Panduranga has lost its hereditary monarchy status, with kings being appointed by our court in Hue. Emperor Minh Mang has accused the king of Panduranga, Po Phaok The, of supporting the faction of Le Van Duyet, a rival of our empire. Thus, Minh Mang has made a declaration that the king of Champa must be toppled, and that the Champan people should be incorporated into our empire. Cham troops are mobilizing for the defense of their kingdom.;;;;;;;;;;;;;;;;;;;;;;;;;;
KATIPSUMAT;Recently, rumors have been brought to light that the Cham Muslim leader Katip Sumat has spent the early months of 1833 gathering his followers in a remote base in the countryside. Demanding from his followers "absolute loyalty to Allah and Islam," he had been preaching the Qur’an and disseminating Islamism, defending the establishment of an Islamist Vietnam and a jihad against the Nguyen dynasty. With their flags raised, and the words Po Rasak written upon them – meaning His Great Glorious Wonderful – a clear implication for either Allah or the prophet Muhammad, the rebels have just launched attacks against Vietnamese tax register centers and military garrisons.;;;;;;;;;;;;;
JATHAKWA;Following our suppression of Katip Sumat’s Islamist uprising in the summer of last year, the Cham people are once again acting against our rule, and it appears that they are being supported by the Montagnards. Attacking our provinces from Binh Tuan to Phu Yuen, reports reveal that Ja Thak Wa, a Cham Muslim cleric, is the leader of this revolt. It seems that his main interest is in proclaiming a new Champa dynasty, as he has announced that Po War Palei, the son-in-law of the last deputy ruler of the Champa, as the new King.;;;;;;;;;;;;;
CHAMGENOCIDE;Minh Mang, Emperor of Vietnam, had dispatched over 3,000 troops to deal with the Cham rebels since the beginning of the uprisings in the region. The monarch had promised good remittances for soldiers who killed and beheaded rebels, and a wave of massacres and systematic killings took the Cham people by a storm. Slow slicing and rampant mass killings allowed the fury of Vietnamese troops to turn into a de facto ethnocide in Champa, with competitions between the Vietnamese royal troops and Kinh paramilitary units. By the summer of 1835, the Champa king, Po War Lei, was killed in action, and Ja Thak Wa was captured by Vietnamese troops and sentenced to death. Seven to twelve Cham villages were scrambled to the ground, and the murders and exile of other revolutionaries such as Po Phoak The, and the demolition of Cham temples, cemeteries and villages, signals the end of large-scale Cham revolts.;;;;;;;;;;;;;
GEORGEIVDED;His Majesty, George IV of the United Kingdom, has passed away today, in 1830. Born in 1762, crowned King in 1820, and dead in 1830, George was known for his absurd eating habits, his vast consumption of alcohol and his usage of laudanum to ease chronic pains. Weighing 280 pounds at his passing, George had arteriosclerosis, gout and suffered, like his father, from cataracts. The Scottish artist David Wilkie had remarked that the monarch looked like “a great sausage stuffed into the covering” due to his immense size. Having a rule marked by scandal due to his mistresses, his financial extravagance and a “selfish, unreliable and irresponsive” personality, George gradually grew ill due to his awful habits, with intensifying coughs at the time of his death. Clutching his stomach, the King died from an upper gastrointestinal bleeding resulting from the rupture of a blood vessel in his stomach. According to some versions, George’s last words were: “my boy [to his page], this is death”.;;;;;;;;;;;;;
LOUISIDED;Grand Duke Ludwig I of Baden has died at the age of 67, leaving the succession of his titles in the hands of his half-brother, Leopold. His life accomplishments during his reign include securing the continued existence of the University of Freiburg, and founding the Polytechnic Hochschule Karlsruhe which will go on to become the oldest technical school in Germany. Ludwig’s death means the extinction of his line in the Baden family. There has been much gossiping and rumor-fabrication surrounding his death, some saying that a mysterious 17 year old man named Kaspar Hauser who appeared in 1828 is the illegitimate son of Ludwig.;;;;;;;;;;;;;
LUDWIGHESSEDED;The Grand Duke Ludwig I of Hessen-Darmstadt has passed away at the age of 76. Succeeding his father, Ludwig IX, Ludwig I was elevated to Grand Duke of Hesse in 1806, due to allying Napoleon I, and joined the Confederation of the Rhine. During the Congress of Vienna, Ludwig would lose his Westphalian territories, but was compensated with the district of Rheinhessen. Because of this acquired territory, he changed his title to Grand Duke of Hesse by the Rhine. He is succeeded by his eldest son, Ludwig II.;;;;;;;;;;;;;
baden_tithe_abolition_title;The Abolition of the Tithes;;;;;;;;;;;;;
baden_tithe_abolition_desc;The practice of tithing, or the mandated payment in-kind of peasants' production to their landlord as part of their feudal obligations, has for over a decade been under scrutiny by our government: In addition to hindering efforts to modernize agricultural practices, transporting and storing tithe goods incurs a significant logistical burden and results in significant wastage of agricultural output. The Baden Estates have come to a resolution to finally begin the abolition of this ancient practice, allowing for estates to forgo tithing in exchange for a compensatory pension equivalent to twenty times a tithe's appraised annual value, with twenty percent of this pension being supplied by a state tithe replacement fund.;;;;;;;;;;;;;
brunswick_constitution_1832_title;The Brunswickian Constitution of 1832;;;;;;;;;;;;;
brunswick_constitution_1832_desc;After the revolution of 1830, liberal reforms and a new constitution have been proposed by members of the Upper House. This constitution would allow voting, but limited by a census suffrage system, which ensures about 40% of Brunswick’s male population is allowed to vote. The parliament would also be granted more rights than in most other German states while limiting the Duke’s power and monetary budget.;;;;;;;;;;;;;
BYECHARLESBRUNSWICK;While Charles II of Brunswick technically reigned for 15 years, over half of it was through the prince-regent of Great Britain and Hanover. Charles was set to take the throne at the age of 19. However, when he turned 18, Hanover rushed through constitutional reforms that limited his powers, redefined his duchy, hereditary lands and due income. Charles ended his regency early, declaring in an edict that Hanover was a usurper and that the new constitution imposed by it was invalid because it limited his powers and went against all international norms of law, causing outrage in Hanover and England. The German Confederation attempted to intervene in the matter and ordered Charles to accept the new constitution, which he promptly disregarded, keeping Brunswick an absolute monarchy. This year, however, amidst the July Revolution, Charles' absolutism has been getting less popular in Brunswick, culminating in a large mob breaking into the palace to overthrow him, placing his brother William as Duke in his stead.;;;;;;;;;;;;;
GOTTINGERREV;Liberal citizens of Göttingen started an armed uprising on the 8th of January with the goal of abolishing the feudal governing system. The uprising was quenched on the 16th of January, while the general state of the rest of Hanover remained calm. The reason for the uproar in Göttingen looks to be related to a widespread hatred for a specific book, written by Friedrich Wilhelm Boldewin von dem Knesebeck in praise of the nobility as a preserver of stability. Friedrich implied that stronger surveillance against liberal advocates was necessary, which seems to have been the cause of the recent troubles.;;;;;;;;;;;;;
SAX1830REV;1827 marked the death of King Friedrich August I, who was succeeded by King Anton. Anton has so far failed to enact any reforms throughout his 3 years of rule, but this has primarily been blamed on the cabinet minister Detlev von Einsiedel who remains the politically dominant figure within the Kingdom. In June, many of our subjects started outspokenly criticizing the current regime's lack of liberal reforms, primarily in Leipzig where the 300th anniversary of the Confessio Augustana of 1530 was being celebrated. Many felt the ban on wearing student uniforms- a symbol of liberalism- was a form of harassment, and have taken to the streets in protest. Local authorities dispatched police, which increased liberal resistance even further. After the July Revolution in France, protests have started to become more common, with the Leipzig protest repeating in September. From Leipzig, unrest has more recently begun spreading to other cities, such as Dresden. King Anton has now convened a security commission, seeking to deal with the situation.;;;;;;;;;;;;;
constitution_1831_saxonia_title;The Saxon Constitution of 1831;;;;;;;;;;;;;
constitution_1831_saxonia_desc;A new constitution has been proposed by King Anton and Prince co-regent Frederick Augustus II, which would transform the Kingdom of Saxony into a parliamentary monarchy. The king would be head of the government, but could not become ruler of another state (save by blood inheritance) without consent of the Diet or parliament. The king's decrees have to be countersigned by at least one of his ministers, and without it, none of the king's acts could be considered valid. The king would have supreme power over religious matters, and could overrule any judgement delivered in court of law. The king has the power to promote laws, and without his consent no proposals for laws may be passed in the Diet.;;;;;;;;;;;;;
champa_jihad_title;Declare a Jihad against Vietnam;;;;;;;;;;;;;
champa_jihad_desc;The Cham people have proven themselves resilient, with dedication to Allah and characteristic determination, against the imperial ambitions of Vietnam. Now Katip Sumat, an Islamist leader and preacher who demands absolute loyalty to Allah and Islam, calls for jihad against the barbarians to the north. Tired of the tyranny of the Vietnamese, our soldiers have voluntarily been waving black banners and calling for war. If Po Phaok The, King of the Cham, accepts the call for holy warfare against the northern invaders, the house of Islam will be expanded, and peace will be guaranteed for generations to come.;;;;;;;;;;;;;
INVASIONOFSYRIA;The ambitious Muhammad Ali Pasha of Egypt has long been plotting to invade our Syrian provinces. In the revolt of the Greeks against our rule, we enlisted his help in crushing them in return for the promise of giving Egypt sovereignty over Crete, Cyprus and Morea. However, as the joint Anglo-Franco-Russian fleet intervened in the Battle of Navarino and sank the Egyptian navy, leading to our defeat in the war. Now, the scheming Muhammad Ali has declared war on us, using their lack of compensation for intervening in Greece as a casus belli, as he never received Crete, Cyprus or Morea. With his recent reforms of administration and army organization, his forces pose a legitimate threat to the levant. We must rally our forces and crush Egypt once and for all!;;;;;;;;;;;;;
CENTRALITALYORDER;The Italian United Provinces have been thoroughly crushed. Outmatched on the battlefield, the irregular Italian militia were easily defeated. Habsburg forces have retaken the key revolutionary cities and re-established the status quo antebellum, ending the dream of a united Italy -- for now. Only time will tell when the flames of revolution will once again engulf the peninsula.;;;;;;;;;;;;;
UCALIBERALSTHIRTYFIVE;José Gregorio Salazar y Castro, a conservative, won the election of 1834 and became supreme leader of the Federal Republic of Central America. However, the El Salvador-based liberals have been becoming ever more influential in the federation's legislative assembly. They have now used their power to declare the election results null with bogous claims of electoral fraud. Gregorio has sullenly agreed to hand over supreme command to Francisco Morazán, head of the liberals. The new government has even relocated the capital from Guatemala to El Salvador, solidifying its new seat of power. While the liberals are celebrating their successful takeover, the conservatives are plotting their revenge.;;;;;;;;;;;;;
SAVOIEINVASION;Several Mazzinian exiles have attempted to overthrow King Vittorio Emmanuele I. They accused the Sovereign of consolidating central power for himself, giving life to an absolutism that would not have admitted opposition. The revolt involved an invasion of Savoy from the French border and direct action from infamous Italian republican Giuseppe Garibaldi, who would organize a revolt within the Kingdom’s fleet and meet them up with the invaders. \n\nBut the Piedmontese troops expected an invasion for some time, thanks to some information reports received beyond the border. In fact, leading insurgent general Girolamo Ramorino immediately realized the impossibility of the success of the plan, both the invasion of Savoy and Garibaldi's  mutiny. The rebellion’s failure led to some of its organizers, such as Ramorino and fellow general Giovanni Battista Scapaccino, to renounce their republican ideals and defect again to the monarchy. Garibaldi, meanwhile, has gone back into hiding.;;;;;;;;;;;;;
constitution_1831_kassel_title;The Kurhessische Verfassung;;;;;;;;;;;;;
constitution_1831_kassel_desc;A new constitution modeled to some extent after that of England, has been supported by the Elector. This new constitution would establish a popular representation in a Diet or Congress of the provinces, and would extend liberty of speech and that of the press. The constitution would also seek to separate royal and state revenues, and make ministers swear an oath to the constitution, as well as implementing an impeachment system for ministers who break their oath. ;;;;;;;;;;;;;
staatsgrundgesetz_hanova_title;The Staatgrundgesetz;;;;;;;;;;;;;
staatsgrundgesetz_hanova_desc;The Staatsgrundgesetz, a constitution proposed by the estates and supported by cabinet minister Caspar Detlev von Schulte would liberalize our monarchy to appease the left and prevent a repetition of the events of 1830. It would combine the Generalsteuerkasse with the Königliche Generalkasse to a singular Steuerkasse and give the power to set our country's budget to the estates. The city of Hannover's magistrates that the government currently appoints would be made independent with a simple government veto right to their appointment, giving the city more autonomy. More importantly, it would open the upper house of the estates to farmers and the middle class. While staunch conservatives oppose this constitution, it is clearly necessary to maintain the stability of our country.;;;;;;;;;;;;;
KAPODISTRASDED;Ex-foreign minister of Tsar Alexander I of Russia - and first governor of Greece - Ioannis Kapodistrias, has just been murdered on the steps of the church of Saint Spyridon in Nafplion. His assassination was carried out by the disgruntled brother and son of one Petrobey Mavromichalis (a popular and successful leader in the uprising against Ottoman rule), whose imprisonment had been ordered by Kapodistrias. Konstantinos- Ioannis’ brother, and Ioannis’ son Georgios waited on the steps of the church, and killed Kapodistrias by stabbing him in the chest, and consecutively shooting him in the head. After the deed, Konstantis was shot by general Fotomaris, who witnessed the murder from his window. Georgios, however, had slipped away from the scene and would only surrender to authorities days later. He was subsequently put to death by firing squad, his last words being: “Peace Brothers!”;;;;;;;;;;;;;
althorpact_title;Althorp's Act;;;;;;;;;;;;;
althorpact_desc;The Factory Act, or Althorp’s Act, would seek to establish a regular working day, specifically for children in the workforce. Children through the ages 9-12 are limited to 48 hours of work per week, children under the age of 9 would not be allowed in factories (apart from silk mills), children under the age of 18 are not allowed to work at night, children through the ages 9-13 must not work more than 8 hours a day with an hour lunchbreak, children through the ages 14-18 must not work more than 12 hours with an hour lunchbreak. The Act would also establish a Factory Inspectorate, and allow for routine factory inspections.;;;;;;;;;;;;;
ALAWITEREV;While having been relatively content with autonomous rule in the mountains of Latakia, the Alawis within our borders have started organizing an uprising at a scale we have yet to see. The cause of the recent unrest is partly due to the call for mass mobilization by Muhammad Ali, which upset the Alawites who remain loyal to the Ottomans. During a march of Egyptian soldiers from Aleppo to Latakia some 4,000 Alawi militants attacked the column, forcing the Egyptians to retreat to Latakia. The Alawite forces pursued, and laid siege to Latakia, causing much damage and monetary loss. We need to act now to return order to our rebellious provinces!;;;;;;;;;;;;;
PEASANTSPALESTINEREVOLT;Egypt's war effort against the Ottomans has led to extreme unrest in Palestine. To gather an army capable of marching to Constantinople, Ibrahim Pasha has ordered a fifth of all Muslims under Egyptian rule to be conscripted, including those in the now-conquered Levant. With this extensive draft has come high taxes that are draining the income of Levantine Arab peasants. These peasants, not owning land of their own, receive housing on the farms they tend to by their landlord and are meanwhile paid a subsistence wage that cannot survive high taxing.\n\nWith these factors contributing to huge unrest, the Palestinian sheikh Qasim al-Ahmad has ordered his followers to disobey the Egyptian draft orders and refuse to pay these taxes. Peasants and nobles alike have declared an open revolt, storming cities such as Hebron, Nablus, and Safed.;;;;;;;;;;;;;
AGRESSION_CONQUEST_ANY_NAME_EGY_PLS;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
NORMAL_CONQUEST_ANY_NAME_EGY_PLS;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
AGRESSION_CONQUEST_ANY_NAME_EGY_ALA;The Alawite Revolt;;;;;;;;;;;;;
