;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_la_plata_desc;The nations which were once part of the Viceroyalty of La Plata must be reunited under a single flag once again, the platinean peoples bound together into a great nation, a power to rule in the New World.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
form_maghreb_title;Unite the Maghreb;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_maghreb_desc;The Maghrebi cultures of western Africa must be united under a single flag, an Arab nation mighty enough to shake the world order to its foundations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_transcaucasia_title;Unite Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_transcaucasia_desc;The nations of the southern Caucasus must unite together, a new power sufficient to withstand the might of Russian colonialism.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_transcaucasia_title;Create Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_transcaucasia_desc;The nations of the southern Caucasus must be united together, a vassal that will serve as a loyal and mighty ally to our country.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_north_caucasus_title;Claim the Northern Caucasus;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_north_caucasus_desc;By rights, the northern Caucasus region belongs as part of our country just as do its people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_yemen_title;Become Yemen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_yemen_desc;Northern and Southern Yemen must be united under a single flag-- ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
hatt_i_humayun_title;Hatt-i Hümayun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
hatt_i_humayun_desc;The Hatt-i Hümayun, or 'Imperial Reform Edict', will take the concept of Ottomanism-- the belief that equality among the Empire's religious groups will solve its social issues-- to the logical conclusion. Full rights will be granted to the Empire's minorities, and laws passed to grant each millet the right to use  the religious law of its population. This will go a long way towards dealing with some of the nationalist strife the country has suffered, and bring the Ottoman Empire into a new and multicultural age.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
republican_reforms;Republican Reforms;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
republican_reforms_title;Republican Reforms;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
republican_reforms_desc;Under a liberal and democratic government, Turkey must be transformed into a modern and secular state!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
greater_turkey_title;Claim Greater Turkey;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_turkey_desc;We must strive to restore the Greater Turkish Empire, one that stretches throughout the Middle East rather than in Europe.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
fsa_enact_anaconda_plan_title;The Anaconda Plan;Le plan Anaconda;Der Anaconda-Plan;;El plan Anaconda;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fsa_enact_anaconda_plan_desc;Originally devised by General-in-chief Winfield Scott, the Anaconda plan was a plan for subduing the Free Americans by means of a massive naval blockade, and a military advance along the coast. By initiating blockades of FSA ports, we can increase their war exhaustion by denying them essential goods.;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,
fsa_shermans_march_to_the_sea_title;Sherman's March To The Sea;La marche de Sherman vers la mer;Shermans Marsch zum Meer;;La marcha hacia el mar de Sherman;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fsa_shermans_march_to_the_sea_desc;During the campaign he conducted in November and December of 1864, Major General William Tecumseh Sherman applied the doctrines of Total War in what can best be described as a campaign of terror directed at the civilian population of the North. By operating deep inside Free American territory, and by destroying much of the north's civilian infrastructure, Sherman is often said to have broken the North's will to fight. Apply his methods, and it might be the final nail in the FSA's coffin.;Durant la campagne qu'il mena en Géorgie de novembre à décembre 1864, le Major-général William Tecumseh Sherman appliqua une doctrine de guerre totale, que l'on pourrait plutôt qualifier de campagne de terreur ayant pour cible la population civile du Sud. En agissant profondément au sein des territoires confédérés, et en détruisant la majorité des infrastructures civiles de la Géorgie, Sherman est souvent cité pour avoir brisé la volonté de combattre du Sud. Appliquons sa méthode, et cela pourrait être le dernier clou du cercueil des Confédérés.;Während des Feldzuges durch Georgia im November und Dezember 1864 wandte Generalmajor William Tecumseh Sherman die Doktrinen des Totalen Krieges mit nur als Terrorkampagne zu bezeichnenden Aktionen gegen die Zivilbevölkerung des Südens an. Durch Operationen tief in konföderiertem Gebiet und durch Zerstörung eines Großteils der Infrastruktur von Georgia brach Sherman vielen Meinungen nach den Kampfeswillen des Südens. Wenden Sie seine Methoden an - vielleicht werden sie der letzte Nagel im Sarg der Konföderation sein.;;Durante la campaña llevada a cabo en Georgia entre noviembre y diciembre de 1864, el general William Tecumseh Sherman aplicó las doctrinas de la guerra total en lo que podría describirse perfectamente como una campaña de terror dirigida contra las poblaciones civiles del sur. Se cree que al operar en el interior de territorio confederado y destruir gran parte de la infraestructura civil del enemigo, Sherman logró quebrantar la voluntad de combatir del sur. La aplicación de estos métodos podría suponer el último clavo en la tapa del ataúd del enemigo.;;;;;;;;;x,,,,,,,,,,,
raise_the_flag_of_freedom_title;Raise the Flag of Freedom!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
raise_the_flag_of_freedom_desc;The time has come to take a stand, to fight against the dominance of the south and in the name of free men everywhere!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
fsa_enact_radical_reconstruction_title;Radical Reconstruction;Reconstruction radicale;Radikaler Wiederaufbau;;Reconstrucción radical;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fsa_enact_radical_reconstruction_desc;We have won the war against the FSA, and now the time has come to restore order in the north. Yankee nationalism must be suppressed, and policies enacted to ensure that a resurgence of chaos never occurs again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
restore_the_union_title;Restore the Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
restore_the_union_desc;Our manifest destiny is to reclaim the United States of America which once was, and thus to re-create it in the name of the Founding Fathers and the true spirit of independence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
restore_washington_capital_title;Move the Capital to Washington;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
restore_washington_capital_desc;The capital of the USA rightfully belongs in Washington, D.C. Now that it is under our control, we must make the symbolic gesture of restoring it as the center of the Union and proving the strength of America.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
restore_richmond_capital_title;Move the Capital to Richmond;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
restore_richmond_capital_desc;The capital of the FSA rightfully belongs in Richmond, Virginia. Now that it is under our control, we must make the symbolic gesture of restoring it as the center of the Confederacy and proving the strength of the South.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
move_capital_to_philadelphia_title;Move the Capital to Philadelphia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_philadelphia_desc;Let us move the capital to Philadelphia, a city under our control and a cultural and historical center of the North.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
move_capital_to_boston_title;Move the Capital to Boston;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_boston_desc;Let us move the capital to Boston, a city under our control and a cultural and historical center of the North.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
move_capital_to_atlanta_title;Move the Capital to Atlanta;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_atlanta_desc;Let us move the capital to Atlanta, a city under our control and a cultural and historical center of the South.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
recognize_the_fsa_title;Officially recognize the FSA;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_the_fsa_desc;We will extend formal recognition of the Free States of America, opening an embassy in their capital and formally establishing relations. The USA will, of course, not approve.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
FSA_right_to_secede_title;The Right to Secede;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
FSA_right_to_secede_desc;The Civil War is over, and despite our wishes the United States stands divided. Our only option is to extend official recognition of the north's right to secede. If we cannot live under the same roof, we shall be kind neighbors, and perhaps even brothers in arms. May God help us all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
FSA_second_declaration_of_independence_title;The Second Declaration of Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
FSA_second_declaration_of_independence_desc;As the founding fathers did before us, so shall we stand up for our sovereign rights and not permit the interests of the South override what the North knows to be right and proper in our eyes. We shall be free, and let no free man say otherwise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
begin_hungarian_revolution_title;Begin the Revolution!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
begin_hungarian_revolution_desc;We must strike a blow against the Hapsburg monarchy, in the name of Hungarian independence!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
vassal_rebellion_title;Demand Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassal_rebellion_desc;We have attempted diplomatic efforts to achieve our freedom, and been refused. Now our only hope is to demand our independence on threat of all-out war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_hindustan2_title;Form Hindustan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_hindustan2_desc;We must unite the people of Hindustan under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_marathas2_title;Form Marathas;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_marathas2_desc;The Maratha Empire was once the greatest force upon the Indian subcontinent. The time has come for it to rise once more!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal2_title;Claim Greater Bengal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal2_desc;The Bengal Empire once ruled over much of eastern India, and the time has come to once again restake our claim. We must strike a blow against the forces of imperialism!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_dravidistan2_title;Form Dravidistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_dravidistan2_desc;We must unite the Dravidian people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_schleswig_title;Claim Schleswig;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_schleswig_desc;The duchies of Schleswig and Holstein have long been united and considered indivisible under the Danish crown, but a question of royal claim to the duchies combined with the Holsteinian desire to join in the larger German Confederation to the south has led to considerable difficulty for King Frederick VII. The treatment of Danish people in Schleswig living under Holsteinian domination has led to a call for the duchy to be incorporated into Denmark proper. This is unlikely to be looked on favorably by the conservative German aristocracy in Holstein.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_japan_title;Unite With Japan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_japan_desc;The time has come to reconcile with the Japanese government, and unite our nations for the good of the Japanese destiny.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_nigeria_title;Organize Nigeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_nigeria_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_nigeria_title;Claim Nigeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_nigeria_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_togo_title;Organize Togo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_togo_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_togo_title;Claim Togo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_togo_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_ivory_coast_title;Organize Ivory Coast;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_ivory_coast_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_ivory_coast_title;Claim Ivory Coast;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_ivory_coast_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_sierra_leone_title;Organize Sierra Leone;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_sierra_leone_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_sierra_leone_title;Claim Sierra Leone;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_sierra_leone_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_guinea_title;Organize Guinea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_guinea_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_guinea_title;Claim Guinea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_guinea_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_senegal_title;Organize Senegal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_senegal_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_senegal_title;Claim Senegal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_senegal_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_niger_title;Organize Niger;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_niger_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_niger_title;Claim Niger;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_niger_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_chad_title;Organize Chad;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_chad_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_chad_title;Claim Chad;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_chad_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_cameroon_title;Organize Cameroon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_cameroon_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_cameroon_title;Claim Cameroon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_cameroon_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_gabon_title;Organize Gabon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_gabon_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_gabon_title;Claim Gabon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_gabon_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_congo_title;Organize Congo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_congo_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_congo_title;Claim Congo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_congo_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_zaire_title;Organize Free Congo State;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_zaire_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_zaire_title;Claim Free Congo State;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_zaire_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_zambia_title;Organize Zambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_zambia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_zambia_title;Claim Zambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_zambia_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_kenya_title;Organize Kenya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_kenya_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_kenya_title;Claim Kenya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_kenya_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_tanzania_title;Organize Tanganyika;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_tanzania_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_tanzania_title;Claim Tanzania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_tanzania_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_mali_title;Organize Mali;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mali_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_mali_title;Claim Mali;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_mali_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_libya_title;Organize Libya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_libya_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_CAR_title;Organize Ubangi-Chari;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_CAR_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_CAR_title;Claim Ubangi-Chari;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_CAR_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_malawi_title;Organize Nyasaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_malawi_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_malawi_title;Claim Nyasaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_malawi_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_gambia_title;Organize the Gambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_gambia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_gambia_title;Claim the Gambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_gambia_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_angola_title;Claim Angola;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_angola_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_mozambique_title;Claim Mozambique;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_mozambique_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
move_capital_to_niamey_title;Move Capital to Niamey;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_niamey_desc;Niamey provides a better capital for Niger-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_bamako_title;Move Capital to Bamako;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_bamako_desc;Niamey provides a better capital for Mali-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_dar_es_salaam_title;Move Capital to Dar-es-Salaam;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_dar_es_salaam_desc;Dar-es-Salaam provides a better capital for Tanganyika-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_malaya_title;Unite Malaysia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_malaya_desc;We must unite all of the Malay peoples of the East Indies under a common banner. Down with the imperialists!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_malaya_title;Create Malaysia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_malaya_desc;A unified and civilized federation of the Malay peoples will provide a stronger ally for our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_hungary_title;Flee to Budapest;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_hungary_desc;With the loss of Vienna, the Austro-Hungarian government must flee to Budapest instead. The Hungarians will not, however, continue with the arrangement of the Dual Monarchy-- not when what is left of Austria has been lost. The Hungarians will instead become the new power in our union, taking over what remains of our Empire and ruling in our name.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
reclaim_the_UK_title;Reclaim the British Isles;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_the_UK_desc;We must rise up and reclaim all of the British Isles-- the old Empire will exist once again!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reform_the_UK_title;Reform the United Kingdom;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reform_the_UK_desc;Now that we have reclaimed the British Isles we must restore them to a single, united rule once more.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_hausaland_title;Become Hausaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_hausaland_desc;The hausa have come to increasingly dominate the Caliphate and its court, and it is time Sokoto reflected that fact.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_toucouleur_title;Found the Tukulor Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_toucouleur_desc;The Jihad must continue! With the cities of the central deserts under our control, now is the time to found a united empire that will resist the coming onslaught of the colonial powers!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_mali_empire_title;Restore the Mali Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_mali_empire_desc;The Mali Empire was once one of the greatest kingdoms in all of Africa. Under the ancient flag we can unite the peoples of the western Sahel, and challenge the might even of the Europeans!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_somalia_title;Unite Somaliland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_somalia_desc;We must unite all Somalis under a single, unified flag!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_ETH_title;Unite Ethiopia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_ETH_desc;The civil war is over. Ethiopia must be one nation!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_SHW_title;Unite Shewa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_SHW_desc;The civil war is over. Shewa must be one nation!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_cuba_title;Recognize Cuban Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
