end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
EVTOPTA00101;We will put this rabble down like before.;;;;;;;;;;;;;
EVTOPTB00104;We can do nothing.;;;;;;;;;;;;;
EVTNAME00116;Integrating Poland;;;;;;;;;;;;;
EVTDESC00116;Ever since the Polish Partition, the Poles have long languished under foreign rule, including our own. However, whilst the Prussians and Russians have oppressed Poles to a great degree, the Austrian Empire has given to them a relatively light burden, compared to the struggles they face elsewhere. With the conquest of Poland complete, the kingdom can be integrated into the empire wholesale.;;;;;;;;;;;;;
EVTOPTA00116;Dissolve Galicia, Integrate Poland.;;;;;;;;;;;;;
EVTNAME00200;The Restoration of Etrutia;;;;;;;;;;;;;
EVTDESC00200;The Kingdom of Etruria was a short-lived kingdom in the Italian peninsula, created by Napoleon I as a form of compensation to the Spanish line of Bourbon-Parma, and ultimately dissolved in 1815. With our success in overturning this aspect of the congress of Vienna, the kingdom can be restored, securing further Bourbon gains in the Italian peninsula.;;;;;;;;;;;;;
EVTNAME00201;The Treaty of Milan;;;;;;;;;;;;;
EVTDESC00201;The belligerent Sardinian kingdom has been defeated on the battlefield definitively, putting an end to their expansionist ambitions in the Italian peninsula. To ensure the continued security of both Austria and France, the state is to be effectively dismantled, its kindom split in twain, French majority regions handed back to the kingdom of France, and Genoa released once more as an independent republic.;;;;;;;;;;;;;
EVTOPTA00201;This will undoubtedly bring stability.;;;;;;;;;;;;;
EVTNAME00202;Construction finished on Versailles;;;;;;;;;;;;;
EVTDESC00202;The Versailles Palace, after many years of reconstruction, renovation, and restoration, has finally been restored to working order, and the court culture of the palace has once again turned it into the diplomatic and cultural capital of Europe.;;;;;;;;;;;;;
EVTOPTA00202;And all it took was our entire economy!;;;;;;;;;;;;;
EVTNAME00203;Renewing the Franco-Bavarian Alliance;;;;;;;;;;;;;
EVTDESC00203;Naturally, as the French court reasserts itself as the diplomatic axis around which Europe spins, one of the first matters to attend to is Germany. By strategically influencing and allying ourselves with the Bavarians once more, a feat much helped by their monarch's own romantic leanings, the Bourbons can drive a wedge into German affairs once again.;;;;;;;;;;;;;
EVTOPTA00203;Naturally.;;;;;;;;;;;;;
EVTNAME00204;The Carlist War;;;;;;;;;;;;;
EVTDESC00204;The Liberals in Spain have defied our prior enforcement of the absolutist rule of the Bourbon line and brought about a pragmatic sanction to cement their own rule over our neighbor, denying Carlos the right to his rule. Catalans and Basque have rallied behind him to dispute this unlawful succession, and while we may stand by and do nothing, many in our administration advocate immediate intervention to secure a long term ally...;;;;;;;;;;;;;
EVTOPTA00204;How many times do we need to teach you this lesson, old man?!;;;;;;;;;;;;;
EVTOPTB00204;We have enough problems already.;;;;;;;;;;;;;
EVTNAME00205;Carlist War - French Victory;;;;;;;;;;;;;
EVTDESC00205;The unlawful Christinos have been deposed and French forces once again march triumphantly throughout Spain, bearing the banner of the French crown alongside the Burgundian Cross of Spain. Now, the question remains of how to administer our ally, whether to trust them to rule alone or to take more direct responsibility.;;;;;;;;;;;;;
EVTOPTA00205;The crown is restored.;;;;;;;;;;;;;
EVTOPTB00205;Keep Spain under surveillance.;;;;;;;;;;;;;
EVTOPTC00205;Keep Spain controlled, and seize Cuba.;;;;;;;;;;;;;
EVTNAME00206;Carlist War - Spanish Victory;;;;;;;;;;;;;
EVTDESC00206;We have successfully repulsed even the French from our lands, preventing another repeat of the Bourbon tyranny within our lands.;;;;;;;;;;;;;
EVTOPTA00206;Viva La Espana!;;;;;;;;;;;;;
EVTNAME00207;Codigo Abolicion Espanol;;;;;;;;;;;;;
EVTDESC00207;Throughout the history of the Spanish Empire, a large anti-slavery tract has existed, dating back to the early 1600s with declarations against the trade and laws forbidding the acquisition and sale of native americans as slaves. Despite multiple efforts to limit or abolish the trade and the practice on the part of the Spanish state, due to political realities and extensive contraband slaves still arrive to Cuba in record numbers, and the political opposition of Cuban slaveholders still drastically influences Spanish policy. With continued political reforms, an opportunity has arisen to finally abolish the trade and practice across the empire, fulfilling the obligations Spain made to abolishing the practice in 1820.;;;;;;;;;;;;;
EVTOPTA00207;We must destroy the trade at all costs.;;;;;;;;;;;;;
EVTNAME00208;Carlist Distributism - Cuba;;;;;;;;;;;;;
EVTDESC00208;Distributist measures taken in the Spanish mainland have thus far proven quite successful, prompting some in the more abolitionist camp of government to propose expanding the program well beyond the shores of Spain proper, and to extend it to the colonial holdings of Cuba and Puerto Rico as well. To do so would cost a great investment from the Spanish coffers, but could prove invaluable to recovering the island possessions' respective economies in the aftermath of abolition by handing landed estates to freed slaves and to those peninsulares whom have yet to benefit on the mainland. However, this will doubtlessly earn further ire from former slaveholders on the islands, and may yet prove another challenge for Spanish authorities.;;;;;;;;;;;;;
EVTOPTA00208;What a brilliant idea!;;;;;;;;;;;;;
EVTOPTB00208;Who cares about the islands?;;;;;;;;;;;;;
EVTNAME00301;The Barbarization Plan;;;;;;;;;;;;;
EVTDESC00301;The Barbarization Plan was a supposed plan to enslave, kill, and deport the vast majority of Greeks in the mainland of Greece in order to repopulate the region with settlers from the Levant and Egypt. While this was never officially acknowleged by the Turkish government, a combination of massacres, pogroms, and atrocities in Ottoman held territory, as well as private statements by generals involved in the campaign, highly suggest that this plan, or at least a variation of it, would have been enacted in the event of an Ottoman victory. The cities of the empire are purged of their Hellene inhabitants, civilians, soldiers, bureaucrats all alike purged from their posts, dislanded, and most even enslaved. Massacres accompany the Turkish reprisals, further pogroms being enacted in Constantinople, Trebizond, and all other territories the Ottomans retain. As slaves are deported across the whole of Greece, Arabs from Egypt and the Levant, particularly those who aided in putting an end to the rebellion, are given the land in their stead. This event has been condemned across the whole of Europe, but the powers of the west have already proven their ineffectual nature in preventing an Ottoman reconquest. Even so, there are few left whom they can carry the torch for. Almost certainly, this is the end of the Hellenic peoples of the world, and the end of their civilization as a whole.;;;;;;;;;;;;;
EVTOPTA00301;Such are the wages of rebellion.;;;;;;;;;;;;;
EVTNAME00302;Collapse of Ottoman Authority;;;;;;;;;;;;;
EVTDESC00302;The complete and utter defeat of the Sultan's armies by the rebellious Greek uprising came as a shock to the world, which just a few short years earlier had to intervene to prevent the complete defeat of the Greeks. The capture of Constantinople by the rebellion led to a total breakdown of civil authority across the Ottoman empire, and in this defeat the Ottoman Empire has been reduced to naught but a rump state in Anatolia.;;;;;;;;;;;;;
EVTOPTA00302;At least we don't have to worry about minorities anymore.;;;;;;;;;;;;;
EVTNAME00303;Retribution;;;;;;;;;;;;;
EVTDESC00303;The Greek uprising against the Ottomans was a bloody one, characterized by a distinct lack of mercy on both sides. In Greek-occupied territory, Turks were hunted down and killed until there were none left, and the same sort of action characterized the Turkish war effort. The brutality of the war was unspeakable, with families whom had known each other for years not being spared from the ethnic and religious turmoil that engulfed the former Ottoman Empire in the event of the Filiki Etarias assuming control. With the success of the Greek rebellion, the Turkish people left stranded in Rhomaion territory are ill-prepared for the death that arrives at their doorstep, and unlike when the Ottomans persecuted the Greeks, there is little chance or will for outside intervention. For those Muslims that find themselves in Greek territory, shut doors and hushed whispers are their only defense against the bloody retribution that faces them and their children, deserved or not. The Rhomaion speak of the Saint Virgin Mary granting them a mandate to destroy the entirety of the Turkish civilization, and the Bosporus runs red with the bloated, decaying bodies of men, women, and children murdered within the city walls and dumped into the Bosporus. Ottoman forces that otherwise would have intervened are nowhere to be found, or their disorganized remnants have joined the civilians in being massacred.;;;;;;;;;;;;;
EVTOPTA00303;But they deserve it, right?;;;;;;;;;;;;;
EVTNAME00304;The Basileia Tos Rhomaion;;;;;;;;;;;;;
EVTDESC00304;The Filiki Etarias has succeeded in the goal it set out for itself in the Greek revolution, despite all attempts by the Turks to defeat it and by foreign powers to limit it. The Rhomaion people now forge their own destiny on the world stage, a restoration of the glory of the ancient peoples of Rome imagined in the modern day, and an overturning of the disaster of 1453. The Empire of the Romans will suffer many tribulations in the years to come, but this will always be remembered as the day the peoples of Rome saw their final liberation from the Ottoman yoke.;;;;;;;;;;;;;
EVTOPTA00304;The Empire of Kings has returned.;;;;;;;;;;;;;
EVTNAME00305;The Countryside War;;;;;;;;;;;;;
EVTDESC00305;Despite military victory, and an official treatise with the Ottoman Empire concerning their expulsion from Europe and from much of Anatolia, the reality on the ground is far less cut and dry. Turkish gendarmie and partisans still roam much of the countryside, raiding and invading territories across the mutual border. On the European side, Albanian bandits and Bulgarian nationalists on our side of the border still engage in military resistance against the empire. Without comprehensive investment in the army, there is little that can be done to prevent further bloodshed.;;;;;;;;;;;;;
EVTOPTA00305;I thought the war was over?;;;;;;;;;;;;;
EVTNAME00306;The Klephts;;;;;;;;;;;;;
EVTDESC00306;Useful to the cause of rebellion was a class of people in the countryside known as the Klephts. Opposed to Ottoman rule, these partisans proved exceptionally useful in securing Greek independence. However, with the hostilities ceased, even if only in name, the klephts have become problematic. Little more than thieving bandits, they comprise a large portion of the Rhomaion armed forces, and use their position to extract bribes from the local populace, as well as obfuscate corrupt dealings behind the prestige of their status as 'war heroes.' If the Rhomaion state is to modernize, the klephts must be reigned into state control and their corruption ceased, one way or another.;;;;;;;;;;;;;
EVTOPTA00306;I kinda like the bribes;;;;;;;;;;;;;
EVTNAME00307;Phanariote Corruption;;;;;;;;;;;;;
EVTDESC00307;The Phanariote class, during the reign of the Ottoman Empire, made up a substantial portion of the administration of the Ottoman provinces, and even took charge of a large portion of the merchant class and aristocracy. Now, with independence secured, the Phanariote class has established its own control over much of the bureaucracy. Skilled diplomats and administrators all, their benefits would be felt throughout the state, if their skills were applied more to administration and less to lining their own pockets.;;;;;;;;;;;;;
EVTOPTA00307;More bribes?;;;;;;;;;;;;;
EVTNAME00308;Rouspheti Traditions;;;;;;;;;;;;;
EVTDESC00308;The bureaucracy of the Rhomaion state inherits certain predispositions regarding how the bureaucracy should function, most notably how the wheels of the state should turn. State officials routinely accept Rouspheti, that is to say, gifts and bribes, in order to move policy in favor of those who pay, or simply to move the state at all. This has resulted in a deeply backwards, bloated, and slow state apparatus. It will take time, effort, and much investment to change this cultural outlook amongst the bureaucracy.;;;;;;;;;;;;;
EVTOPTA00308;MORE BRIBES?!;;;;;;;;;;;;;
EVTNAME00309;The State Within the State;;;;;;;;;;;;;
EVTDESC00309;The Orthodox Church remains a powerful institution within the Rhomaion empire, and its power is unmatched in matters ecclesiastical. Normally a source of great prestige for the country, the power of the church is worrisome in how far it extends into the realm of the political. A landed body in and of itself, the church takes a powerful position within the affairs of state, proving more often than not to be a roadblock to meaningful change in the path to modernization. Until this issue is settled, in favor of the church or of the state, the status quo benefits few in the realm.;;;;;;;;;;;;;
EVTOPTA00309;God Willing!;;;;;;;;;;;;;
EVTNAME00310;The Kojdabashi;;;;;;;;;;;;;
EVTDESC00310;The Kojdabashi are an aristocratic class in the Rhomaion state, dating back to before the acquisition of the empire by the Turks in the 15th century. The aristocratic class is one that is deeply engrained in the social strata of the state, and plays a large role in the organization of the Rhomaion empire. Opposed thoroughly to the merchant classes of the state, this strata will work tirelessly to prevent the industrialization of the realm until it is reigned in, by one means or another.;;;;;;;;;;;;;
EVTOPTA00310;They will be curbed in time.;;;;;;;;;;;;;
EVTNAME00311;The Commerce Monopoly;;;;;;;;;;;;;
EVTDESC00311;The Phanariotes have another realm in which they govern much of our state, namely the world of commerce. Phanariote vessels control a majority share of virtually all external trade heading into and out of the realm, leaving us deeply dependent on their cooperation...and therefore, lining their pockets.;;;;;;;;;;;;;
EVTOPTA00311;At least we can still get bananas.;;;;;;;;;;;;;
EVTNAME00312;Coastal Piracy;;;;;;;;;;;;
EVTDESC00312;Despite our victory over the Ottoman Empire, coastal piracy remains a major threat to the security of the empire in Constantinople. Egyptian, Meghrebi, and even several Ottoman vessels still plague our coaastline as if the war never ended, raiding coastal settlements and taking the population as captives. Without a large naval presence in the Aegean, there is little we can do to stop this.;;;;;;;;;;;;;
EVTOPTA00312;That has got to be the worst pirate I've ever seen.;;;;;;;;;;;;;
EVTNAME00313;An Empire of Rot;;;;;;;;;;;;;
EVTDESC00313;While the state we have created bears the title of the ancient empire of the Romans, its status only exists as a mere pale reflection of the glories of old. Without a powerful army to speak of, politically divided, economically and societally backwards, and lacking all but the most core regions of the Rhomaion state, our nation stands as an empire of rot, inheritor of the very same deformities that plagued our oppressors.;;;;;;;;;;;;;
EVTOPTA00313;Oh, my empire of dirt!;;;;;;;;;;;;;
EVTNAME00314;The End of the Countryside War;;;;;;;;;;;;;
EVTDESC00314;With the enlargement of the Rhomaion army into a force of sizable stature, the empire is finally in a position to force an end to the raids and unrest that has plagued the countryside thus far. With the Anatolian frontier finally under control, a decision must be come to as to how we must approach the remaining Turkish presence in Roman Anatolia.;;;;;;;;;;;;;
EVTOPTA00314;Send the remainder across the border, peacefully of course.;;;;;;;;;;;;;
EVTOPTB00314;They can remain, under supervision.;;;;;;;;;;;;;
EVTNAME00315;Disempowering the Klephts;;;;;;;;;;;;;
EVTDESC00315;The Klephts have for a long time been a problematic thorn in the side of the Rhomaion military structure, a corrupt bunch of bandits and thieves that use their status in the military in order to extract substantial bribes. With recent investment into the command of the Rhomaion army, the choice is now ours on how to proceed dealing with these corrupt war heroes.;;;;;;;;;;;;;
EVTOPTA00315;Integrate the Klephts as a gendarme;;;;;;;;;;;;;
EVTOPTB00315;Disown and purge the Klephts.;;;;;;;;;;;;;
EVTNAME00316;Reigning in the Phanariotes;;;;;;;;;;;;;
EVTDESC00316;The Phanariotes have played a large role in the diplomacy and administration of the realm. With our investments into the financial and dipomatic realms bearing fruit, we now have the opportunity to face down their corruption, and make a decision on how to address this class of diplomats moving forwards, and how we can use their diplomatic strengths to benefit us.;;;;;;;;;;;;;
EVTOPTA00316;Their diplomatic expertise proves handy.;;;;;;;;;;;;;
EVTOPTB00316;We prefer a more aggressive strand of diplomacy.;;;;;;;;;;;;;
EVTNAME00317;Undoing the Rouspheti Tradition;;;;;;;;;;;;;
EVTDESC00317;The Rouspheti tradition, the exchanging of gifts and personal favors in order to keep the wheels of state turning, is one that has remained pervasive across Rhomaion society until recently. Now, however, with the modernizing of the state and cultural apparatus of the empire, the tradition can be done away with and replaced with a more favorable tradition for the realm...;;;;;;;;;;;;;
EVTOPTA00317;Their corruption can be useful to increase funding.;;;;;;;;;;;;;
EVTOPTB00317;Efficiency at all costs!;;;;;;;;;;;;;
EVTNAME00318;Of Church and State;;;;;;;;;;;;;
EVTDESC00318;The Orthodox church during Ottoman rule served as the only government entity of the old Byzantine empire that survived in its totality, and as such grew immensely in power as the sole representative of the Rhomaion people during the Turkish occupation. This status quo has left the cultural institutions of the empire in a standstill. Now, with investment having been made to this field of the nation, a decision can be made as to where the church will stand in the nation going forwards.;;;;;;;;;;;;;
EVTOPTA00318;The Empire is absolute.;;;;;;;;;;;;;
EVTOPTB00318;The Church is absolute.;;;;;;;;;;;;;
EVTNAME00319;Reigning the Kodjabashi;;;;;;;;;;;;;
EVTDESC00319;The Kodjabashi, a class of nobility that date to the Ottoman takeover of the old Rhomaion empire, have maintained until now a large share of the economy and political class of the state. Hardcore traditionalists, their interests are directly opposed to industrial expansion. With substantial investment in the industrial economy, we now have a position to force the issue and end their control.;;;;;;;;;;;;;
EVTOPTA00319;Integrate them and grant them noble titles.;;;;;;;;;;;;;
EVTOPTB00319;Cast them out, we must modernize!;;;;;;;;;;;;;
EVTNAME00320;The Phanariote Commerce Monopoly;;;;;;;;;;;;;
EVTDESC00320;The Phanariotes until now have enjoyed a comprehensive monopoly on the commerce of the Rhomaion realm, and as such have effectively revoked state control over its own foreign commerce. With investment having been made in the economy of the realm, Phanariote control has eroded enough to determine what to do with their class moving forwards.;;;;;;;;;;;;;
EVTOPTA00320;Their monopoly could be useful.;;;;;;;;;;;;;
EVTOPTB00320;Let me just get my hammer...;;;;;;;;;;;;;
EVTNAME00321;The End of Coastal Piracy;;;;;;;;;;;;;
EVTDESC00321;The last of the coastal pirates in the Aegean have been done away with, and their equipment and leadership has been seized by the state. Now, the only question left is what we must do with the bountiful harvest we have captured from them.;;;;;;;;;;;;;
EVTOPTA00321;THAT HAS GOT TO BE THE BEST PIRATE IVE EVER SEEN;;;;;;;;;;;;;
EVTOPTB00321;"Pirate Expertise?" Go home, you're drunk.;;;;;;;;;;;;;
EVTNAME00322;Coastline Raided!;;;;;;;;;;;;;
EVTDESC00322;The accursed pirates raiding our coastline have struck again, burning and looting settlements before dispersing by the time any reinforcements could arrive.;;;;;;;;;;;;
EVTOPTA00322;That has got to be the worst pirate I've ever seen.;;;;;;;;;;;;;
EVTNAME00323;An Empire of Bronze;;;;;;;;;;;;;
EVTDESC00323;The Empire of the Rhomaion marches onwards. Still a backwards nation in many ways, glimmers of hope yet still arise, illuminating the potential for recovery and growth. Now is the time of rebuilding and consolidating, so that these glimmers may yet become a reality.;;;;;;;;;;;;;
EVTOPTA00323;Bronze Age Jumpscare;;;;;;;;;;;;;
EVTNAME00324;Thrace Protected;;;;;;;;;;;;;
EVTDESC00324;With the acquisition of Northern Thrace and Macedonia, the northern border of the empire has stabilized, at least for now. With the proverbial foot in the door, the Basileia Tos Rhomaion can begin to take a leading role in Balkan affairs.;;;;;;;;;;;;;
EVTOPTA00324;Let's hope it isn't cut off.;;;;;;;;;;;;;
EVTNAME00325;An Empire of Silver;;;;;;;;;;;;;
EVTDESC00325;The Basileia Tos Rhomaion is finally beginning to resemble, if not a truly modern state, a functioning one with landed institutions and some vestiges of economic and military prowess begining to show. Even if the realm may not yet rise to the forefront of geopolitical affairs, it is at least worthy of consideration at this point.;;;;;;;;;;;;;
EVTOPTA00325;An empire of spoons and forks, silverware for all.;;;;;;;;;;;;;
EVTNAME00326;Bulgaria Reclaimed;;;;;;;;;;;;;
EVTDESC00326;Bulgaria, the long-standing rival of the Byzantine empire, has been vanquished by the Rhomaion people once again, as they were during the reign of Basil II. With this border secured, the empire of the Romans can finally call its northern border that of the Danube again, for the first time since six hundred years ago.;;;;;;;;;;;;;
EVTOPTA00326;The name "Bulgar-slayer" ring any bells?;;;;;;;;;;;;;;
EVTNAME00327;Western Balkans Reclaimed!;;;;;;;;;;;;;
EVTDESC00327;The western balkans, historically the northern frontier of the Byzantine empire, have finally been reclaimed by their rightful owners, bringing the Orthodox peoples of the region back together for the first time since before the 4th Crusade.;;;;;;;;;;;;;
EVTOPTA00327;Unity at last.;;;;;;;;;;;;;
EVTNAME00328;Anatolia Retaken;;;;;;;;;;;;;
EVTDESC00328;The Anatolian frontier, after centuries of Islamic, Turkish rule, has been restored to the Rhomaion people finally. Further has the empire marched now than it ever has since the days of the Komnenos dynasty, and this territorial restoration has exceeded even Manuel Komnenos' efforts to recover the hinterlands of the peninsula. Surely, further glories must await us after this day.;;;;;;;;;;;;;
EVTOPTA00328;Nice borders.;;;;;;;;;;;;;
EVTNAME00329;An Empire of Marble;;;;;;;;;;
EVTDESC00329;The Basileia Tos Rhomaion, finally, enters the world stage not as a ruinous shadow of its former self, not as a secondary member of negotiations mentioned only in passing, but as a true power. While they still refer to the nation as the "Empire of the Greeks," and most typically refuse to recognize the title claimed by the empire, slowly but surely public opinion is beginning to sway in favor of the latter.;;;;;;;;;;;;;
EVTOPTA00329;So close...;;;;;;;;;;;;;
EVTNAME00330;Armenia Reclaimed;;;;;;;;;;;;;
EVTDESC00330;The lands of Armenia have been reclaimed in their entirety, bringing the foremost provinces of the realm that were lost in the battle of Manzikert back under Imperial control. With these lands integrated, the issue of Armenian nationalism has been brought into question for perhaps the first time since the peoples were integrated into the bureaucracy. The once rather negligible minorities of Georgians and Armenians have become sizable expanses of the nation, and their calls for independence, which once aided our conquests, have become thorns in our own side. While their fears can be alleviated by integrating their languages fully into the imperial state apparatus, this will come at severe cost to our administrative efficiency. We must ask ourselves now, is the Empire Rhomaion, or are its people?;;;;;;;;;;;;;
EVTOPTA00330;The people are Rhomaion!;;;;;;;;;;;;;
EVTOPTB00330;The Empire is Rhomaion!;;;;;;;;;;;;;
EVTNAME00331;An Empire of Gold;;;;;;;;;;;;;
EVTDESC00331;The Rhomaion Empire, a title for long that has languished in the face of opposition from those that would deny the people of Constantinople its prestige and honor, has finally reclaimed its place at the forefront of the world stage. The title of "Roman" has gone from a formality to a colloquialism of diplomatic discourse, no longer a proclamation or a title but rather a statement of mere reality, and the cultural exchange of what once was called Hellenic has become a prestigious and well-regarded tradition, one many would be proud to inherit. The Empire has been restored.;;;;;;;;;;;;;
EVTOPTA00331;A Pax Romana Restored!;;;;;;;;;;;;
EVTNAME00332;The Levant Reclaimed;;;;;;;;;;;;;
EVTDESC00332;Heraclius spoke of the Levant in the 600s, after suffering a disastrous defeat at the hands of the Islamic Caliphate, and he said of the territory that it was a beautiful province, and that it would serve the caliphs well. His prediction proved to be quite apt. The Muslims took great use of these lands, and our empire languished in their absence. With the restoration of these lands into the empire, however, comes the integration of more christianized populations, populations that will undoubtedly seek their own rights within the empire as well.;;;;;;;;;;;;;
EVTOPTA00332;We will integrate them.;;;;;;;;;;;;;
EVTOPTB00332;We embrace our fellow Christians!;;;;;;;;;;;;;
EVTNAME00333;The Jewel Reclaimed!;;;;;;;;;;;;;
EVDESC00333;The Jewel of the Rhomaion Empire, the breadbasket of Egypt, has been reclaimed in the name of God and of the Rhomaion peoples. The territory that once served as the breadbasket for the Rhomaiin empire fell not long after the Levant did, and its reacquisition will once again turn this fertile land into the same breadbasket it once was. Meanwhile, the local Copts have proven to be a possible point by which the empire can appeal to the locals, however, this will once again severely strain the bureaucracy of the empire, and will no doubt be unpopular in so far as the state will be giving preferential tratment to a distinct minority of the Egyptian populace.;;;;;;;;;;;;;
EVTOPTA00333;We will accept them, as long as they become Rhomaion.;;;;;;;;;;
EVTOPTB00333;We accept all Christians.;;;;;;;;;;;;;
EVTNAME00334;The Thassos Dispute;;;;;;;;;;;;;;
EVTDESC00334;The island of Thassos, populated only by peoples of the Rhomaion realm, was occupied by the Egyptians during our war of independence, and to this day the Egyptians administer it how they wish. This island is strategically placed directly to the south of our Macedonian holdings, and allows Egypt to project their navy all along the coastline, as well as harbor the very pirates that threaten our realm now. We may demand the island be returned to us, and the Egyptians vacate the land, but undoubtedly they will have demands of their own, seeing as Ali has had ambitions on our land since the war of independence.;;;;;;;;;;;;;
EVTOPTA00334;We will demand the island be returned.;;;;;;;;;;;;;
EVTOPTB00334;This sounds like a terrible idea.;;;;;;;;;;;;;
EVTNAME00335;The Hellenes Demand Thassos;;;;;;;;;;;;;
EVTDESC00335;The Hellenic peoples, high off of their successes against the rotting Ottoman Empire, have dained to demand the island of Thassos, which we have occupied since 1813 as a just reward for fending off the Wahhabists in Arabia. While the island is of little worth on its own, escalating this dispute by posing an outrageous price for the island may be an apt decision on our own part, allowing us to seize substantially more territory should they refuse and negotiations break down...;;;;;;;;;;;;;
EVTOPTA00335;Demand Cyprus and Crete in return!;;;;;;;;;;;;;
EVTOPTB00335;We do not want war with the Hellenes. The island is worth little, anyways.;;;;;;;;;;;;;
EVTNAME00336;Egyptian Demands;;;;;;;;;;;;;
EVTDESC00336;The treacherous Egyptians have demanded the islands of Cyprus and Crete in return for the island of Thassos! The deal they offer is undoubtedly a horrendously high price for the land we seek, and undoubtedly is being forwarded in order to force a breakdown of negotiations. Should we refuse this offer, Egypt will most certainly seek war in order to take far more than just those two islands from us.;;;;;;;;;;;;;
EVTOPTA00336;Damn it all, give them what they want.;;;;;;;;;;;;;
EVTOPTB00336;Break the negotiations, then.;;;;;;;;;;;;;
EVTNAME00337;The Return of Thassos;;;;;;;;;;;;;
EVTDESC00337;Unexpectedly, the Egyptians have backed down from the island of Thassos, and have benevolently granted us control of the island for no cost at all. Egyptian naval vessels and military personnel have begun to evacuate the island, and the transfer of civilian authority to Rhomaion governors has begun to take place across the small island, ensuring a safe transition of power between our two realms. Surely they are intimidated by our invincible military might!;;;;;;;;;;;;;
EVTOPTA00337;How nice of them.;;;;;;;;;;;;;
EVTNAME00338;Greece Breaks Negotiations!;;;;;;;;;;;;;
EVTDESC00338;As expected, the Greeks have broken off negotiations, and their response to our 'generous' offer was one of disdain, clearly insulted by the boldness of our demands. With negotiations breaking down, we now have a valid cause to go to war, in order to maintain our honor in the Mediterranean, as well as what rewards defending it brings.;;;;;;;;;;;;;
EVTOPTA00338;To War!;;;;;;;;;;;;;
EVTOPTB00338;On second thought, they can keep the island.;;;;;;;;;;;;;
EVTNAME00339;The War is Going Poorly;;;;;;;;;;;;;
EVTDESC00339;The war against the Hellenes is going substantially worse than expected. Our armies are distinctly outnumbered by the Hellenic forces they face off against, whether because of our own lack of preparation or due to defeats on the battlefield, or a combination of both. Victory as we sought it is unlikely to come to us, and we no longer have the capacity to keep the island under our control, let alone expand into Greece as was intended. It would be apt to cut our losses and pursue peace with them, so that we may lick our wounds in peace.;;;;;;;;;;;;;
EVTOPTA00339;The war is lost.;;;;;;;;;;;;;
EVTOPTB00339;They have but shaved our beard.;;;;;;;;;;;;;;
EVTNAME00340;The Egyptians Surrender!;;;;;;;;;;;;;
EVTDESC00340;The Egyptians have begun forwarding diplomatic feelers, bringing up the possibility of an end to hostilities, and an Egyptian withdrawal from the island of Thassos to end this bloody conflict. Undoubtedly, their nose has been bloodied in a bout that they did not expect to go this poorly, and they seek a quick exit from a war they stand little chance of winning now. We ourselves may not be in a much better position, so perhaps it would be wise to accept this offer of peace, lest the war go south going forwards.;;;;;;;;;;;;;
EVTOPTA00340;The war is concluded. Accept their offer.;;;;;;;;;;;;;
EVTOPTB00340;They think it's only the island we want now? Cute.;;;;;;;;;;;;;
EVTNAME00341;The Egyptians Defeated;;;;;;;;;;;;;
EVTDESC00341;The Egyptians have been defeated both on sea and on land, in a stunning victory many would have deemed impossible, same as how many would have deemed it impossible that the Turks would have been defeated. Their armies have been devastated both on sea and on land, and the government of Ali has been forced to acknowledge the supremacy of the armies of Rhomania on the field, and pay substantial indemnities to our state in return for the cessation of hostilities. The island of Thassos has been reclaimed, and the experience this war has brought, fighting against an army on modern european lines, will prove invaluable to our developing nation going forwards.;;;;;;;;;;;;;
EVTOPTA00341;The Pharoah's Staff is Broken.;;;;;;;;;;;;;
EVTNAME00342;The Hellenes Have Surrendered;;;;;;;;;;;;;
EVTDESC00342;The Hellenic 'empire' has surrendered as expected to our markedly superior military forces, and has been forced to give up its territory in the Aegean, as well as their lands in Attica and the Peloponnese, which the Ottomans promised to us as compensation for aiding him against the Hellenic rebellion that ended their empire. These territories now belong to Egypt, a foothold for Ali on the European continent.;;;;;;;;;;;;;
EVTOPTA00342;The Hellenes have been crushed, as expected.;;;;;;;;;;;;;
EVTNAME00343;A Minor Victory;;;;;;;;;;;;;
EVTDESC00343;The Egyptians have been thwarted in their attempts to conquer our realm, although we have proven incapable of forcing any terms on them. Their forces have steadily begun to withdraw from Thassos, as their outpost there has come to be a needless expense in the face of our opposition on the continent. While no treaty may have been signed to end this war, and no territory has been officially exchanged, this ends the Egyptian occupation of Thassos for the foreseeable future.;;;;;;;;;;;;;
EVTOPTA00343;The island is ours!;;;;;;;;;;;;;
EVTNAME00344;The Lazican Uprising;;;;;;;;;;;;;
EVTDESC00344;Upon the acquisition of the Lazican territory by the revived Rhomaion state, it was initially presumed that the local Lazicans would accept Rhomaion rule rather easily, considering their cultural heritage as part of the Georgian realm, which enjoyed strong relations with the Rhomaion peoples for many years in its heyday. However, the local population has long since converted to Islam, and quickly it has been found that they do not associate strongly with the renewed order in the Trebizod region. They have begun to agitate heavily for independence from the realm, organizing into militias to oppose imperial rule, and it is not unlikely that shots will be fired soon.;;;;;;;;;;;;;
EVTOPTA00344;We must keep order.;;;;;;;;;;;;
EVTNAME00345;The Balkan Revolution;;;;;;;;;;;;;
